session_id,headset_id,participant_count,timestamp_sec,frame_rate_fps,frame_time_ms,network_latency_ms,packet_loss_pct,calibration_error_mm,headset_temp_c,battery_level,scene_state
20251206_090108,H_4193,0,1.23,54.6,18.30,0.0,0.000,0.00,25.7,100,Offline
20251206_090108,H_4193,0,2.24,75.4,13.26,0.0,0.000,0.00,26.2,100,Offline
20251206_090108,H_4193,0,3.24,72.3,13.84,0.0,0.000,0.00,26.6,100,Offline
20251206_090108,H_4193,0,4.24,72.2,13.86,0.0,0.000,0.00,27.0,100,Offline
20251206_090108,H_4193,0,5.24,72.6,13.77,0.0,0.000,0.00,27.4,100,Offline
20251206_090108,H_4193,0,6.25,73.3,13.65,0.0,0.000,0.00,27.7,100,Offline
20251206_090108,H_4193,0,7.25,72.2,13.85,0.0,0.000,0.00,28.0,100,Offline
20251206_090108,H_4193,0,8.27,72.1,13.87,0.0,0.000,0.00,28.2,100,Offline
20251206_090108,H_4193,0,9.28,72.2,13.86,0.0,0.000,0.00,28.5,100,Offline
20251206_090108,H_4193,0,10.28,72.3,13.83,0.0,0.000,0.00,28.7,100,Offline
20251206_090108,H_4193,0,11.29,72.1,13.88,0.0,0.000,0.00,28.9,100,Offline
20251206_090108,H_4193,0,12.29,72.0,13.88,0.0,0.000,0.00,29.1,100,Offline
20251206_090108,H_4193,0,13.31,72.4,13.82,0.0,0.000,0.00,29.2,100,Offline
20251206_090108,H_4193,0,14.32,72.5,13.80,0.0,0.000,0.00,29.4,100,Offline
20251206_090108,H_4193,0,15.32,72.1,13.87,0.0,0.000,0.00,29.5,100,Offline
20251206_090108,H_4193,0,16.32,72.1,13.86,0.0,0.000,0.00,29.6,100,Offline
20251206_090108,H_4193,0,17.33,71.7,13.94,0.0,0.000,0.00,29.7,100,Offline
20251206_090108,H_4193,0,18.33,73.2,13.65,0.0,0.000,0.00,29.8,100,Offline
20251206_090108,H_4193,0,19.35,72.2,13.86,0.0,0.000,0.00,29.9,100,Offline
20251206_090108,H_4193,0,20.35,72.6,13.78,0.0,0.000,0.00,30.0,100,Offline
20251206_090108,H_4193,0,21.35,72.1,13.87,0.0,0.000,0.00,30.1,100,Offline
20251206_090108,H_4193,0,22.35,72.1,13.86,0.0,0.000,0.00,30.1,100,Offline
20251206_090108,H_4193,0,23.35,72.3,13.83,0.0,0.000,0.00,30.2,100,Offline
20251206_090108,H_4193,0,24.35,72.3,13.83,0.0,0.000,0.00,30.2,100,Offline
20251206_090108,H_4193,0,25.37,72.0,13.89,0.0,0.000,0.00,30.3,100,Offline
20251206_090108,H_4193,0,26.37,72.4,13.82,0.0,0.000,0.00,30.3,100,Offline
20251206_090108,H_4193,0,27.37,72.2,13.85,0.0,0.000,0.00,30.4,100,Offline
20251206_090108,H_4193,0,28.37,72.2,13.85,0.0,0.000,0.00,30.4,100,Offline
20251206_090108,H_4193,0,29.38,72.2,13.85,0.0,0.000,0.00,30.4,100,Offline
20251206_090108,H_4193,0,30.38,72.4,13.82,0.0,0.000,0.00,30.5,100,Offline
20251206_090108,H_4193,0,31.40,72.2,13.86,0.0,0.000,0.00,30.5,100,Offline
20251206_090108,H_4193,0,32.40,72.1,13.88,0.0,0.000,0.00,30.5,100,Offline
20251206_090108,H_4193,0,33.41,72.6,13.77,0.0,0.000,0.00,30.5,100,Offline
20251206_090108,H_4193,0,34.41,72.2,13.86,0.0,0.000,0.00,30.6,100,Offline
20251206_090108,H_4193,0,35.42,72.1,13.87,0.0,0.000,0.00,30.6,100,Offline
20251206_090108,H_4193,0,36.44,72.2,13.84,0.0,0.000,0.00,30.6,100,Offline
20251206_090108,H_4193,0,37.44,2.4,423.37,0.0,0.000,0.00,30.6,100,Offline
20251206_090108,H_4193,0,38.45,72.2,13.85,0.0,0.000,0.00,30.6,100,Offline
20251206_090108,H_4193,0,39.46,72.7,13.75,0.0,0.000,0.00,30.6,100,Offline
20251206_090108,H_4193,0,40.48,72.3,13.83,0.0,0.000,0.00,30.7,100,Offline
