session_id,headset_id,participant_count,timestamp_sec,frame_rate_fps,network_latency_ms,calibration_error_mm,battery_temp_c,battery_level,scene_state
20251207_231719,H_4193,2,1.31,63.6,0.0,0.00,38.0,7,Client
20251207_231719,H_4193,2,2.32,74.4,55.4,0.00,38.0,7,Client
20251207_231719,H_4193,2,3.35,52.6,252.4,0.00,38.0,7,Client
20251207_231719,H_4193,2,4.35,69.4,168.0,0.00,38.0,7,Client
20251207_231719,H_4193,2,5.35,67.0,81.5,0.00,38.0,7,Client
20251207_231719,H_4193,2,6.36,60.8,49.0,0.00,42.0,6,Client
20251207_231719,H_4193,2,7.37,61.8,119.5,0.00,41.0,6,Client
20251207_231719,H_4193,2,8.37,67.2,56.3,0.00,41.0,6,Client
20251207_231719,H_4193,2,9.38,70.7,58.0,0.00,41.0,6,Client
20251207_231719,H_4193,2,10.38,69.6,58.8,0.00,41.0,6,Client
20251207_231719,H_4193,2,11.40,69.8,58.5,0.00,41.0,6,Client
20251207_231719,H_4193,2,12.41,67.7,58.6,0.00,41.0,6,Client
20251207_231719,H_4193,2,13.42,73.4,41.3,0.00,41.0,6,Client
20251207_231719,H_4193,2,14.43,72.1,67.9,0.00,41.0,6,Client
20251207_231719,H_4193,2,15.43,72.1,55.5,0.00,41.0,6,Client
20251207_231719,H_4193,2,16.44,72.8,55.8,0.00,41.0,6,Client
20251207_231719,H_4193,2,17.44,72.0,55.2,0.00,41.0,6,Client
20251207_231719,H_4193,2,18.44,72.3,69.6,0.00,41.0,6,Client
20251207_231719,H_4193,2,19.45,72.6,111.2,0.00,41.0,6,Client
20251207_231719,H_4193,2,20.46,72.8,83.1,0.00,41.0,6,Client
20251207_231719,H_4193,2,21.47,72.6,55.1,0.00,41.0,6,Client
20251207_231719,H_4193,2,22.48,72.3,41.4,0.00,41.0,6,Client
20251207_231719,H_4193,2,23.49,66.9,45.1,0.00,41.0,6,Client
20251207_231719,H_4193,2,24.49,65.8,78.5,0.00,41.0,6,Client
20251207_231719,H_4193,2,25.50,53.8,80.9,0.00,41.0,6,Client
20251207_231719,H_4193,2,26.50,62.4,63.8,0.00,41.0,6,Client
20251207_231719,H_4193,2,27.50,62.3,64.0,0.00,41.0,6,Client
20251207_231719,H_4193,2,28.51,60.6,66.2,0.00,41.0,6,Client
20251207_231719,H_4193,2,29.52,67.4,57.0,0.00,43.0,5,Client
20251207_231719,H_4193,2,30.52,64.5,61.1,0.00,43.0,5,Client
20251207_231719,H_4193,2,31.53,64.5,45.6,0.00,43.0,5,Client
20251207_231719,H_4193,2,32.53,71.5,69.3,0.00,43.0,5,Client
20251207_231719,H_4193,2,33.54,71.7,41.4,0.00,43.0,5,Client
20251207_231719,H_4193,2,34.54,72.0,83.5,0.00,43.0,5,Client
20251207_231719,H_4193,2,35.58,63.7,150.0,0.00,43.0,5,Client
20251207_231719,H_4193,2,36.59,71.6,56.0,0.00,43.0,5,Client
20251207_231719,H_4193,2,37.59,72.1,68.9,0.00,43.0,5,Client
20251207_231719,H_4193,2,38.59,71.4,55.5,0.00,43.0,5,Client
20251207_231719,H_4193,2,39.59,72.0,55.6,0.00,43.0,5,Client
20251207_231719,H_4193,2,40.60,72.5,83.8,0.00,43.0,5,Client
20251207_231719,H_4193,2,41.60,72.1,55.3,0.00,43.0,5,Client
20251207_231719,H_4193,2,42.62,73.3,96.2,0.00,43.0,5,Client
20251207_231719,H_4193,2,43.62,72.3,55.8,0.00,43.0,5,Client
20251207_231719,H_4193,2,44.62,72.2,55.5,0.00,43.0,5,Client
20251207_231719,H_4193,2,45.62,72.4,41.6,0.00,43.0,5,Client
20251207_231719,H_4193,2,46.63,72.4,69.3,0.00,43.0,5,Client
20251207_231719,H_4193,2,47.63,72.6,54.9,0.00,43.0,5,Client
20251207_231719,H_4193,2,48.63,72.5,41.5,0.00,43.0,5,Client
20251207_231719,H_4193,2,49.64,72.1,69.6,0.00,43.0,4,Client
