session_id,participant_count,timestamp_sec,frame_rate_fps,frame_time_ms,network_latency_ms,packet_loss_pct,calibration_error_mm,headset_temp_c
1,3,0,90.7,11.02,36.0,0.236,7.06,31.3
1,3,1,89.0,11.24,40.4,0.093,4.98,31.3
1,3,2,91.7,10.91,38.8,0.036,3.41,31.7
1,3,3,88.2,11.34,32.5,0.075,5.89,31.3
1,3,4,90.6,11.03,26.6,0.0,4.64,32.3
1,3,5,91.0,10.99,31.7,0.354,6.49,31.5
1,3,6,89.7,11.15,21.8,0.332,3.21,32.2
1,3,7,90.7,11.03,21.6,0.104,5.51,32.0
1,3,8,89.5,11.17,27.7,0.029,6.32,32.1
1,3,9,88.9,11.25,27.5,0.124,3.6,31.2
1,3,10,89.5,11.17,19.9,0.066,3.54,31.4
1,3,11,90.2,11.08,23.4,0.057,5.54,31.8
1,3,12,89.8,11.13,32.1,0.035,3.64,32.5
1,3,13,91.5,10.93,20.5,0.004,4.59,31.8
1,3,14,90.0,11.11,28.7,0.045,4.76,32.6
1,3,15,87.7,11.4,21.9,0.047,6.17,31.5
1,3,16,91.2,10.97,16.6,0.007,4.65,31.5
1,3,17,89.6,11.16,28.0,0.109,4.47,31.9
1,3,18,89.6,11.16,23.3,0.017,5.57,31.8
1,3,19,90.0,11.11,23.4,0.048,7.9,32.3
1,3,20,87.7,11.41,19.8,0.132,4.8,32.3
1,3,21,91.3,10.95,15.0,0.045,5.28,31.6
1,3,22,87.1,11.49,25.6,0.06,5.45,32.8
1,3,23,90.1,11.1,20.5,0.121,5.59,32.8
1,3,24,90.9,11.01,21.1,0.113,4.98,32.0
1,3,25,92.4,10.83,18.9,0.024,5.85,32.3
1,3,26,87.4,11.45,33.9,0.197,6.32,32.4
1,3,27,87.5,11.43,32.1,0.095,4.02,32.8
1,3,28,91.1,10.98,37.7,0.136,2.35,32.4
1,3,29,89.2,11.21,24.6,0.041,5.95,31.3
1,3,30,89.5,11.17,30.8,0.002,5.08,31.8
1,3,31,91.0,10.98,27.3,0.096,4.84,32.2
1,3,32,90.8,11.01,27.8,0.03,4.11,32.6
1,3,33,88.8,11.26,19.9,0.054,2.0,32.8
1,3,34,86.8,11.52,32.8,0.035,5.46,32.5
1,3,35,89.8,11.13,30.8,0.014,4.09,32.6
1,3,36,88.4,11.31,24.5,0.174,4.96,32.8
1,3,37,91.2,10.96,32.0,0.162,6.49,32.1
1,3,38,91.2,10.96,24.7,0.067,6.55,32.2
1,3,39,90.3,11.08,31.4,0.02,5.58,32.2
1,3,40,91.3,10.95,28.0,0.003,7.22,32.0
1,3,41,90.2,11.09,30.8,0.022,3.93,31.8
1,3,42,88.5,11.29,25.2,0.017,4.8,32.4
1,3,43,89.3,11.2,17.3,0.073,4.78,33.1
1,3,44,90.9,11.01,31.3,0.012,4.87,31.7
1,3,45,92.8,10.78,21.9,0.087,3.95,32.1
1,3,46,90.6,11.03,17.7,0.055,3.8,32.3
1,3,47,91.6,10.91,27.1,0.03,5.54,32.3
1,3,48,91.8,10.9,16.5,0.009,4.31,32.4
1,3,49,91.2,10.97,29.8,0.089,6.22,32.2
1,3,50,89.8,11.13,28.0,0.268,6.19,33.5
1,3,51,86.9,11.5,23.9,0.0,5.16,31.5
1,3,52,88.0,11.37,15.0,0.394,4.45,31.3
1,3,53,90.5,11.04,32.3,0.143,5.34,31.8
1,3,54,88.2,11.34,21.3,0.001,4.71,32.0
1,3,55,88.3,11.33,23.0,0.022,4.44,32.4
1,3,56,89.2,11.22,17.0,0.002,4.01,33.3
1,3,57,88.1,11.35,21.7,0.106,3.87,32.2
1,3,58,91.0,10.99,34.1,0.196,5.37,32.2
1,3,59,88.3,11.33,26.7,0.119,5.77,32.4
1,3,60,90.5,11.05,20.3,0.048,5.01,32.5
1,3,61,91.4,10.94,21.8,0.543,4.72,31.6
1,3,62,86.0,11.62,25.9,0.002,4.4,32.0
1,3,63,87.3,11.46,23.9,0.207,4.63,32.5
1,3,64,92.4,10.82,31.4,0.313,6.06,32.8
1,3,65,89.8,11.13,20.5,0.026,5.61,32.2
1,3,66,89.6,11.17,19.4,0.279,5.15,32.5
1,3,67,88.7,11.27,20.4,0.055,4.02,32.0
1,3,68,91.3,10.95,25.9,0.034,5.66,31.9
1,3,69,91.7,10.9,30.6,0.038,5.06,32.9
1,3,70,89.4,11.18,30.9,0.055,4.89,31.9
1,3,71,88.9,11.25,25.2,0.059,5.83,33.0
1,3,72,91.2,10.97,26.2,0.002,6.58,32.6
1,3,73,85.8,11.65,27.3,0.015,5.07,33.0
1,3,74,90.2,11.09,29.9,0.112,5.72,33.0
1,3,75,90.4,11.06,15.0,0.162,3.77,31.7
1,3,76,90.2,11.08,21.5,0.053,6.83,32.1
1,3,77,90.0,11.11,21.6,0.148,4.77,32.7
1,3,78,90.3,11.08,28.7,0.214,8.09,32.0
1,3,79,86.3,11.59,23.0,0.05,3.65,32.1
1,3,80,91.0,10.99,22.9,0.007,4.21,32.8
1,3,81,88.7,11.28,24.1,0.031,5.57,32.7
1,3,82,89.3,11.2,17.5,0.064,5.51,32.8
1,3,83,93.8,10.66,25.8,0.188,5.16,32.5
1,3,84,90.2,11.09,27.0,0.078,3.04,32.8
1,3,85,93.9,10.65,26.4,0.054,5.89,32.8
1,3,86,89.3,11.19,19.1,0.052,4.08,33.0
